unique_identifier,region,seoul_metro_area,n_fam_members,n_under_age10,live_toge_couple,both_work,only_man_works,only_woman_works,both_dont_work,GENDER_RESP,AGE_RESP,HOUSE_TYPE,HOUSE_TYPE2,HOUSE_SQ_METER,HOUSE_RENT,HOUSE_RENT2,HOUSEHOLD_INC,TIME_SHORTAGE,WORK_GIVEUP,WORK_GIVEUP2,HOW_TIRED,REASON_TIRED,REASON_TIRED2,SATIS_LIFE,SATIS_LEISURE,SATIS_HOUWORK_DIVISION,GENDER_ROLE,edu_level,working_status,reason_not_working,working_field,position_type,hired_status,working_time,weekly_worktime,week_sidejob_worktime,dayoff_type,health_status
1975,31,Y,2,0,Y,N,Y,N,N,2,19,1,SINGLE,33,3,RENT_DEPOSIT,4,4,,,3,,,3,2,1,2,4,3,4,,,,,,,,3
5738,36,N,2,0,Y,Y,N,N,N,1,21,4,ETC,49,3,RENT_DEPOSIT,4,1,1,WORK,1,1,WORK,4,4,3,3,3,1,,ETC,service_worker,1,1,60,0,3,3
148,31,Y,3,1,Y,N,Y,N,N,1,21,1,SINGLE,30,4,RENT,3,2,1,WORK,2,1,WORK,2,2,2,3,3,1,,CONSTRUCTION,simple_worker,3,2,48,0,5,1
1243,31,Y,3,1,Y,N,Y,N,N,2,22,3,SMALL_FLAT,44,1,OWN,3,2,4,HOUSEWORK,1,3,CHI_CARE,3,3,5,2,3,3,2,,,,,,,,4
11260,33,N,3,1,Y,Y,N,N,N,2,23,2,APT,50,3,RENT_DEPOSIT,4,1,1,WORK,1,1,WORK,3,5,2,4,3,1,,HOTEL_RESTAU,simple_worker,1,2,36,0,3,4
2411,11,Y,3,1,Y,N,Y,N,N,1,23,1,SINGLE,44,3,RENT_DEPOSIT,5,2,1,WORK,1,1,WORK,3,3,1,4,4,1,,HOTEL_RESTAU,service_worker,1,1,80,0,1,3
9707,25,N,2,0,Y,N,Y,N,N,2,23,3,SMALL_FLAT,69,2,JEONSE,3,2,4,HOUSEWORK,2,8,ETC,2,2,3,4,5,3,2,,,,,,,,4
9965,25,N,3,1,Y,N,Y,N,N,1,23,1,SINGLE,33,2,JEONSE,3,1,6,MOVETIME,1,1,WORK,2,2,2,2,3,1,,PROFESSIONAL_SER,office_worker,1,1,45,0,1,2
1993,31,Y,3,1,Y,N,Y,N,N,2,23,2,APT,64,5,COMPLIMENTARY,3,4,,,4,,,3,1,1,4,3,3,2,,,,,,,,3
10910,33,N,3,1,Y,Y,N,N,N,1,24,2,APT,60,2,JEONSE,5,3,,,2,1,WORK,2,4,4,3,3,1,,WHOLESALE_RETAIL,saler_worker,1,1,66,0,3,3
6646,35,N,2,0,Y,N,Y,N,N,1,24,2,APT,132,1,OWN,4,3,,,2,3,CHI_CARE,3,3,3,2,3,1,,ETC,service_worker,1,1,40,0,1,2
3867,22,N,2,0,Y,N,N,Y,N,1,24,1,SINGLE,23,3,RENT_DEPOSIT,2,4,,,1,5,SOCIALIZING,4,4,3,3,3,3,7,,,,,,,,2
5153,24,N,2,0,Y,N,N,Y,N,2,24,1,SINGLE,28,3,RENT_DEPOSIT,2,2,5,SOCIALIZING,1,1,WORK,2,4,3,3,4,1,,EDUCATION,expert,1,1,48,0,1,3
4029,22,N,2,0,Y,Y,N,N,N,1,25,1,SINGLE,32,3,RENT_DEPOSIT,4,2,1,WORK,1,1,WORK,4,4,2,3,4,1,,ETC,simple_worker,4,,40,0,3,2
526,23,Y,2,0,Y,Y,N,N,N,2,25,4,ETC,64,2,JEONSE,6,1,1,WORK,1,1,WORK,2,3,1,3,3,1,,IT,expert,1,1,45,0,1,2
694,23,Y,3,1,Y,Y,N,N,N,2,25,2,APT,56,2,JEONSE,4,1,4,HOUSEWORK,1,3,CHI_CARE,4,5,3,4,4,1,,HOTEL_RESTAU,saler_worker,3,2,30,0,5,2
202,31,Y,4,2,Y,Y,N,N,N,2,25,2,APT,69,2,JEONSE,4,1,3,CHI_CARE,2,3,CHI_CARE,3,3,2,3,4,1,,MANUFACTURE,skill_own_worker,5,,20,0,5,3
11851,32,N,2,0,Y,Y,N,N,N,2,25,2,APT,54,3,RENT_DEPOSIT,7,2,1,WORK,2,1,WORK,1,1,1,4,5,1,,SOCIAL_WELFARE,expert,1,1,40,0,1,2
12191,32,N,4,2,Y,Y,N,N,N,1,25,2,APT,89,2,JEONSE,4,2,6,MOVETIME,1,6,HEALTH,3,2,3,3,4,1,,WHOLESALE_RETAIL,office_worker,1,1,40,0,1,3
9655,25,N,4,2,Y,N,Y,N,N,1,25,3,SMALL_FLAT,66,2,JEONSE,2,1,1,WORK,1,1,WORK,3,4,2,4,3,1,,WHOLESALE_RETAIL,saler_worker,1,1,55,0,1,3
9860,25,N,2,0,Y,N,Y,N,N,1,25,2,APT,94,1,OWN,3,2,6,MOVETIME,3,,,1,2,1,4,7,1,,PROFESSIONAL_SER,expert,1,1,50,0,1,2
6740,35,N,2,0,Y,N,Y,N,N,2,25,2,APT,50,2,JEONSE,5,4,,,4,,,1,1,1,3,5,3,3,,,,,,,,1
7231,39,N,3,1,Y,N,Y,N,N,2,25,3,SMALL_FLAT,89,4,RENT,3,3,,,2,3,CHI_CARE,3,2,2,3,5,3,1,,,,,,,,2
7516,21,N,2,0,Y,Y,N,N,N,1,26,1,SINGLE,29,3,RENT_DEPOSIT,5,1,1,WORK,1,1,WORK,4,5,1,4,4,1,,MANUFACTURE,machine_tech,1,1,50,0,2,4
8015,21,N,2,0,Y,Y,N,N,N,2,26,1,SINGLE,19,3,RENT_DEPOSIT,4,2,1,WORK,2,1,WORK,2,3,2,2,4,1,,ETC,service_worker,2,1,45,0,1,3
3478,22,N,2,0,Y,Y,N,N,N,1,26,1,SINGLE,50,3,RENT_DEPOSIT,6,1,6,MOVETIME,2,7,ETC,3,2,1,1,5,1,,FINANCE,expert,1,1,40,0,1,3
12008,32,N,2,0,Y,Y,N,N,N,1,26,2,APT,79,2,JEONSE,4,2,1,WORK,2,1,WORK,3,3,1,3,5,1,,PUBLIC,army,1,1,60,0,1,2
10497,34,N,2,0,Y,Y,N,N,N,1,26,2,APT,60,2,JEONSE,5,3,,,2,1,WORK,1,1,1,4,4,1,,MANUFACTURE,skill_own_worker,1,1,40,0,1,2
6489,35,N,4,2,Y,Y,N,N,N,2,26,3,SMALL_FLAT,59,1,OWN,4,2,1,WORK,2,1,WORK,3,3,1,4,4,1,,SOCIAL_WELFARE,expert,1,1,49,0,3,3
4614,37,N,4,2,Y,Y,N,N,N,1,26,2,APT,83,2,JEONSE,4,1,1,WORK,1,1,WORK,4,4,2,3,3,1,,MANUFACTURE,machine_tech,1,1,40,0,3,2
8645,38,N,3,1,Y,Y,N,N,N,2,26,2,APT,112,2,JEONSE,6,2,4,HOUSEWORK,2,3,CHI_CARE,3,3,4,4,5,1,,EDUCATION,expert,1,1,40,0,1,2
7212,39,N,4,2,Y,Y,N,N,N,2,26,4,ETC,80,1,OWN,7,2,1,WORK,1,1,WORK,3,3,3,3,5,1,,WHOLESALE_RETAIL,simple_worker,1,1,66,0,3,3
3562,22,N,4,2,Y,N,Y,N,N,2,26,1,SINGLE,53,2,JEONSE,3,2,3,CHI_CARE,1,3,CHI_CARE,5,4,4,4,4,3,1,,,,,,,,3
9685,25,N,3,1,Y,N,Y,N,N,1,26,1,SINGLE,46,3,RENT_DEPOSIT,3,2,1,WORK,2,1,WORK,2,2,2,2,4,1,,MANUFACTURE,machine_tech,1,1,50,0,3,2
10857,33,N,4,2,Y,N,Y,N,N,1,26,2,APT,59,1,OWN,3,1,1,WORK,1,3,CHI_CARE,4,5,3,3,5,1,,SOCIAL_WELFARE,office_worker,1,1,45,0,2,2
6771,35,N,2,0,Y,N,Y,N,N,1,26,1,SINGLE,30,3,RENT_DEPOSIT,3,2,1,WORK,2,1,WORK,2,2,2,2,5,1,,MANUFACTURE,service_worker,1,1,48,0,3,2
5764,36,N,2,0,Y,N,Y,N,N,1,26,2,APT,59,5,COMPLIMENTARY,4,1,1,WORK,1,1,WORK,3,3,1,4,5,1,,PUBLIC,army,1,1,40,0,1,1
8695,38,N,2,0,Y,N,N,Y,N,2,26,2,APT,59,1,OWN,5,1,1,WORK,1,1,WORK,3,3,3,4,3,1,,MANUFACTURE,machine_tech,1,1,52,0,1,2
2373,11,Y,2,0,N,N,Y,N,N,1,26,1,SINGLE,56,2,JEONSE,4,2,5,SOCIALIZING,2,1,WORK,2,3,3,3,5,1,,IT,expert,1,1,42,0,1,2
392,23,Y,2,0,Y,Y,N,N,N,2,27,1,SINGLE,16,4,RENT,4,3,,,1,1,WORK,3,2,3,2,3,1,,MANUFACTURE,machine_tech,1,1,50,0,1,1
5114,24,N,2,0,Y,Y,N,N,N,1,27,3,SMALL_FLAT,82,1,OWN,3,2,1,WORK,1,1,WORK,3,4,3,3,4,1,,IT,office_worker,1,1,50,0,1,2
9855,25,N,2,0,Y,Y,N,N,N,2,27,2,APT,92,2,JEONSE,3,2,2,STUDY,2,1,WORK,1,1,1,4,6,1,,EDUCATION,expert,5,,10,0,5,1
11679,29,N,2,0,Y,Y,N,N,N,2,27,2,APT,59,2,JEONSE,6,2,1,WORK,2,1,WORK,2,4,1,4,5,1,,SOCIAL_WELFARE,service_worker,1,1,4,0,1,1
209,31,Y,2,0,Y,Y,N,N,N,2,27,2,APT,69,2,JEONSE,5,2,1,WORK,2,1,WORK,3,4,2,3,4,1,,WHOLESALE_RETAIL,saler_worker,1,1,45,0,1,2
1301,31,Y,2,0,Y,Y,N,N,N,2,27,1,SINGLE,16,2,JEONSE,4,2,1,WORK,2,1,WORK,3,2,4,4,4,1,,HOTEL_RESTAU,service_worker,2,1,40,0,1,2
1929,31,Y,2,0,Y,Y,N,N,N,1,27,1,SINGLE,261,1,OWN,4,1,1,WORK,1,1,WORK,3,4,3,3,5,1,,SOCIAL_WELFARE,expert,1,1,50,0,3,3
8823,38,N,2,0,Y,Y,N,N,N,1,27,1,SINGLE,50,3,RENT_DEPOSIT,3,2,1,WORK,1,1,WORK,4,3,3,3,4,1,,HOTEL_RESTAU,simple_worker,1,1,32,0,3,2
7019,39,N,4,0,Y,Y,N,N,N,2,27,3,SMALL_FLAT,84,1,OWN,9,3,,,2,1,WORK,3,3,3,4,5,1,,IT,office_worker,1,1,50,0,1,3
7041,39,N,3,1,Y,Y,N,N,N,1,27,3,SMALL_FLAT,99,1,OWN,6,3,,,2,1,WORK,2,2,2,2,4,1,,PUBLIC,simple_worker,1,1,40,0,1,2
7144,39,N,2,0,Y,Y,N,N,N,1,27,2,APT,46,2,JEONSE,5,2,1,WORK,2,1,WORK,2,3,2,2,5,1,,EDUCATION,expert,1,1,40,0,1,1
7663,21,N,2,0,Y,N,Y,N,N,1,27,2,APT,109,3,RENT_DEPOSIT,5,3,,,2,1,WORK,3,3,2,4,3,1,,HOTEL_RESTAU,service_worker,5,,48,0,3,2
527,23,Y,3,1,Y,N,Y,N,N,2,27,4,ETC,57,2,JEONSE,4,1,3,CHI_CARE,2,3,CHI_CARE,3,5,4,4,4,3,1,,,,,,,,1
11610,29,N,3,1,Y,N,Y,N,N,1,27,2,APT,59,2,JEONSE,7,3,,,2,1,WORK,2,2,2,2,5,1,,CONSTRUCTION,expert,1,1,48,0,1,4
1395,31,Y,3,1,Y,N,Y,N,N,2,27,2,APT,76,1,OWN,2,2,1,WORK,1,3,CHI_CARE,3,3,3,4,4,3,1,,,,,,,,3
1905,31,Y,3,1,Y,N,Y,N,N,2,27,2,APT,83,2,JEONSE,8,3,,,2,3,CHI_CARE,2,3,1,4,5,3,1,,,,,,,,2
12294,32,N,3,1,Y,N,Y,N,N,1,27,2,APT,59,2,JEONSE,4,1,1,WORK,1,1,WORK,3,5,3,4,4,1,,WHOLESALE_RETAIL,office_worker,1,1,55,0,1,3
10812,33,N,3,1,Y,N,Y,N,N,1,27,2,APT,85,1,OWN,5,3,,,3,,,2,2,1,3,5,1,,MANUFACTURE,saler_worker,1,1,52,0,1,2
6307,35,N,3,1,Y,N,Y,N,N,2,27,3,SMALL_FLAT,66,2,JEONSE,3,2,4,HOUSEWORK,2,3,CHI_CARE,3,3,2,2,3,3,1,,,,,,,,3
9407,38,N,4,2,Y,N,Y,N,N,2,27,1,SINGLE,74,3,RENT_DEPOSIT,3,3,,,2,3,CHI_CARE,2,2,2,3,4,3,1,,,,,,,,1
4019,22,N,3,1,Y,N,N,Y,N,1,27,3,SMALL_FLAT,50,2,JEONSE,3,3,,,2,3,CHI_CARE,3,3,3,4,4,3,1,,,,,,,,3
4793,37,N,2,0,Y,N,N,Y,N,1,27,1,SINGLE,66,1,OWN,3,2,6,MOVETIME,3,,,2,1,1,2,3,3,4,,,,,,,,1
2405,11,Y,2,0,Y,Y,N,N,N,1,28,1,SINGLE,50,2,JEONSE,5,2,1,WORK,1,1,WORK,2,2,1,4,5,1,,IT,expert,1,1,45,0,1,3
7903,21,N,2,0,Y,Y,N,N,N,1,28,2,APT,85,2,JEONSE,5,2,1,WORK,1,1,WORK,1,2,1,3,6,1,,ETC,expert,1,1,48,0,3,1
7941,21,N,3,1,Y,Y,N,N,N,2,28,2,APT,52,3,RENT_DEPOSIT,3,1,1,WORK,2,1,WORK,2,3,2,4,5,1,,HOTEL_RESTAU,service_worker,4,,42,0,3,1
3545,22,N,4,0,Y,Y,N,N,N,2,28,3,SMALL_FLAT,83,1,OWN,6,3,,,2,1,WORK,2,2,2,4,5,1,,SOCIAL_WELFARE,expert,1,1,40,0,1,3
5492,24,N,4,2,Y,Y,N,N,N,1,28,2,APT,60,1,OWN,4,2,1,WORK,2,2,STUDY,3,3,1,2,5,1,,WHOLESALE_RETAIL,saler_worker,1,1,66,0,3,2
9527,25,N,2,0,Y,Y,N,N,N,1,28,1,SINGLE,56,2,JEONSE,5,1,1,WORK,2,1,WORK,2,3,2,3,5,1,,WHOLESALE_RETAIL,saler_worker,1,1,40,0,1,2
9807,25,N,2,0,Y,Y,N,N,N,2,28,1,SINGLE,83,2,JEONSE,5,2,1,WORK,2,1,WORK,2,4,2,3,5,1,,WHOLESALE_RETAIL,saler_worker,5,,40,0,3,3
10030,25,N,2,0,Y,Y,N,N,N,2,28,1,SINGLE,33,3,RENT_DEPOSIT,8,1,1,WORK,1,1,WORK,4,5,3,4,5,1,,TRANSPORTATION,simple_worker,2,1,52,0,3,3
162,31,Y,3,1,Y,Y,N,N,N,2,28,3,SMALL_FLAT,42,1,OWN,5,1,6,MOVETIME,1,1,WORK,3,4,3,4,3,1,,IT,saler_worker,1,1,40,0,1,3
2037,31,Y,3,1,Y,Y,N,N,N,1,28,2,APT,60,2,JEONSE,6,1,1,WORK,2,1,WORK,3,3,3,3,5,2,,FACILITY_MANA,skill_own_worker,1,1,60,0,6,2
2044,31,Y,2,0,Y,Y,N,N,N,2,28,2,APT,60,1,OWN,5,1,1,WORK,1,4,HOUSEWORK,3,4,3,4,5,1,,CONSTRUCTION,office_worker,1,1,35,0,1,2
2098,31,Y,3,1,Y,Y,N,N,N,2,28,1,SINGLE,33,3,RENT_DEPOSIT,4,4,,,3,,,3,3,3,3,3,2,,ETC,office_worker,1,1,48,0,3,3
12141,32,N,2,0,Y,Y,N,N,N,2,28,2,APT,85,5,COMPLIMENTARY,5,1,4,HOUSEWORK,1,4,HOUSEWORK,3,4,3,3,5,1,,ETC,manager,1,1,40,0,1,4
10487,34,N,2,0,Y,Y,N,N,N,2,28,2,APT,85,2,JEONSE,5,2,1,WORK,2,1,WORK,2,3,2,3,5,1,,EDUCATION,office_worker,1,1,40,0,1,2
5732,36,N,2,0,Y,Y,N,N,N,2,28,1,SINGLE,40,3,RENT_DEPOSIT,9,2,1,WORK,2,1,WORK,3,3,2,4,3,1,,HOTEL_RESTAU,service_worker,1,1,64,0,3,3
9085,38,N,4,2,Y,Y,N,N,N,1,28,2,APT,112,1,OWN,4,1,1,WORK,1,1,WORK,4,4,2,4,3,1,,WHOLESALE_RETAIL,saler_worker,1,1,50,0,1,3
9225,38,N,2,0,Y,Y,N,N,N,1,28,2,APT,71,2,JEONSE,8,1,1,WORK,1,1,WORK,3,2,1,2,4,1,,MANUFACTURE,skill_own_worker,1,1,52,0,1,3
2412,11,Y,3,1,Y,N,Y,N,N,2,28,3,SMALL_FLAT,44,3,RENT_DEPOSIT,5,3,,,3,,,1,3,1,4,5,3,1,,,,,,,,2
2415,11,Y,2,0,Y,N,Y,N,N,1,28,3,SMALL_FLAT,43,3,RENT_DEPOSIT,4,2,1,WORK,2,1,WORK,2,3,1,3,4,1,,IT,expert,1,1,45,3,1,2
7868,21,N,2,0,Y,N,Y,N,N,2,28,2,APT,60,2,JEONSE,5,4,,,3,,,1,1,1,3,4,3,2,,,,,,,,1
4032,22,N,2,0,Y,N,Y,N,N,1,28,1,SINGLE,52,3,RENT_DEPOSIT,5,1,1,WORK,2,1,WORK,3,4,1,3,3,1,,MANUFACTURE,office_worker,1,1,52,0,3,2
9942,25,N,3,1,Y,N,Y,N,N,1,28,2,APT,97,2,JEONSE,4,2,1,WORK,1,1,WORK,3,3,3,3,5,1,,IT,expert,1,1,40,0,1,3
11382,29,N,4,2,Y,N,Y,N,N,1,28,2,APT,105,1,OWN,4,1,1,WORK,1,1,WORK,2,4,3,4,4,1,,MANUFACTURE,machine_tech,1,1,48,0,1,3
11693,29,N,2,0,Y,N,Y,N,N,1,28,2,APT,59,2,JEONSE,4,2,1,WORK,2,1,WORK,1,2,1,4,5,1,,CONSTRUCTION,office_worker,1,1,40,0,1,3
1996,31,Y,4,2,Y,N,Y,N,N,2,28,2,APT,64,5,COMPLIMENTARY,3,3,,,2,4,HOUSEWORK,3,3,3,4,5,3,1,,,,,,,,2
11787,32,N,4,2,Y,N,Y,N,N,1,28,2,APT,69,2,JEONSE,3,1,1,WORK,2,1,WORK,2,4,3,2,5,1,,WHOLESALE_RETAIL,simple_worker,1,1,40,0,3,3
12382,32,N,3,1,Y,N,Y,N,N,1,28,1,SINGLE,49,3,RENT_DEPOSIT,3,3,,,2,2,STUDY,2,2,2,3,3,1,,WHOLESALE_RETAIL,simple_worker,1,1,40,0,1,2
8858,38,N,3,1,Y,N,Y,N,N,1,28,2,APT,60,2,JEONSE,4,1,1,WORK,1,1,WORK,3,4,2,3,4,1,,PUBLIC,skill_own_worker,1,1,45,0,1,3
7090,39,N,2,0,Y,N,N,Y,N,1,28,1,SINGLE,35,3,RENT_DEPOSIT,3,4,,,4,,,1,1,1,3,5,3,4,,,,,,,,2
2193,11,Y,3,1,Y,Y,N,N,N,1,29,1,SINGLE,50,5,COMPLIMENTARY,6,3,,,2,1,WORK,3,3,3,4,7,1,,PROFESSIONAL_SER,expert,1,1,40,0,1,3
2410,11,Y,2,0,Y,Y,N,N,N,1,29,1,SINGLE,44,3,RENT_DEPOSIT,4,2,1,WORK,2,1,WORK,3,4,4,3,4,1,,ETC,office_worker,1,1,45,0,1,2
2490,11,Y,5,2,Y,Y,N,N,N,1,29,1,SINGLE,20,3,RENT_DEPOSIT,6,1,6,MOVETIME,1,7,ETC,3,2,3,3,4,1,,WHOLESALE_RETAIL,saler_worker,1,1,72,0,3,5
2517,11,Y,4,2,Y,Y,N,N,N,1,29,3,SMALL_FLAT,50,2,JEONSE,4,3,,,2,3,CHI_CARE,2,2,1,4,4,1,,MANUFACTURE,saler_worker,1,1,52,0,1,3
7409,21,N,2,0,Y,Y,N,N,N,1,29,2,APT,60,5,COMPLIMENTARY,8,2,1,WORK,1,1,WORK,3,3,2,4,5,1,,PUBLIC,office_worker,1,1,40,0,1,2
3720,22,N,2,0,Y,Y,N,N,N,1,29,2,APT,60,1,OWN,4,2,1,WORK,1,1,WORK,2,4,1,2,4,1,,WHOLESALE_RETAIL,machine_tech,1,1,63,0,3,2
3850,22,N,2,0,Y,Y,N,N,N,1,29,2,APT,59,1,OWN,6,3,,,3,,,2,2,3,3,5,1,,PUBLIC,service_worker,1,1,48,0,1,2
8100,26,N,2,0,Y,Y,N,N,N,1,29,3,SMALL_FLAT,76,2,JEONSE,4,1,6,MOVETIME,1,1,WORK,2,3,2,4,5,1,,ETC,service_worker,2,2,40,0,1,3
11653,29,N,3,1,Y,Y,N,N,N,2,29,2,APT,85,2,JEONSE,5,2,1,WORK,1,4,HOUSEWORK,1,5,2,4,5,2,,EDUCATION,expert,1,1,0,0,1,3
38,31,Y,3,1,Y,Y,N,N,N,1,29,2,APT,56,1,OWN,7,1,1,WORK,1,1,WORK,2,3,1,4,5,1,,WHOLESALE_RETAIL,saler_worker,4,,72,0,3,2
153,31,Y,2,0,Y,Y,N,N,N,2,29,3,SMALL_FLAT,36,2,JEONSE,6,1,1,WORK,1,1,WORK,4,4,2,4,5,1,,MANUFACTURE,simple_worker,1,1,66,0,3,3
161,31,Y,2,0,Y,Y,N,N,N,2,29,3,SMALL_FLAT,95,1,OWN,4,2,1,WORK,2,1,WORK,3,3,3,2,3,1,,IT,saler_worker,2,1,40,0,3,3
1067,31,Y,2,0,Y,Y,N,N,N,1,29,2,APT,40,2,JEONSE,7,2,1,WORK,2,1,WORK,1,2,1,4,5,1,,TRANSPORTATION,office_worker,1,1,40,0,5,1
1268,31,Y,2,0,Y,Y,N,N,N,1,29,2,APT,60,2,JEONSE,6,1,1,WORK,1,1,WORK,3,3,3,3,4,1,,PUBLIC,army,1,1,55,0,1,2
2094,31,Y,2,0,Y,Y,N,N,N,2,29,3,SMALL_FLAT,51,2,JEONSE,5,1,1,WORK,1,1,WORK,3,4,3,4,5,1,,EDUCATION,office_worker,1,1,50,10,2,3
2109,31,Y,3,1,Y,Y,N,N,N,1,29,2,APT,70,2,JEONSE,3,2,1,WORK,2,1,WORK,3,4,3,3,6,1,,PUBLIC,army,1,1,60,0,1,3
12170,32,N,2,0,Y,Y,N,N,N,1,29,2,APT,60,3,RENT_DEPOSIT,5,2,1,WORK,2,1,WORK,3,4,3,3,4,1,,ETC,machine_tech,1,1,40,0,1,2
12248,32,N,2,0,Y,Y,N,N,N,1,29,2,APT,40,1,OWN,5,2,1,WORK,2,1,WORK,3,3,3,3,3,1,,CONSTRUCTION,skill_own_worker,5,,48,0,3,3
11064,33,N,3,1,Y,Y,N,N,N,2,29,2,APT,85,2,JEONSE,5,2,3,CHI_CARE,1,6,HEALTH,1,3,1,4,5,2,,PUBLIC,expert,1,1,40,0,1,4
10568,34,N,4,2,Y,Y,N,N,N,2,29,2,APT,82,1,OWN,6,1,1,WORK,2,1,WORK,2,4,4,4,4,1,,PUBLIC,office_worker,1,1,40,0,1,3
6071,36,N,2,0,Y,Y,N,N,N,2,29,2,APT,84,2,JEONSE,5,1,1,WORK,2,1,WORK,3,3,2,3,5,1,,PUBLIC,office_worker,1,1,40,0,1,3
4706,37,N,2,0,Y,Y,N,N,N,1,29,2,APT,59,1,OWN,7,2,1,WORK,2,1,WORK,3,3,1,2,4,1,,MANUFACTURE,machine_tech,1,1,30,0,1,3
2409,11,Y,4,2,Y,N,Y,N,N,1,29,3,SMALL_FLAT,44,3,RENT_DEPOSIT,5,2,1,WORK,1,1,WORK,4,4,3,2,4,1,,IT,office_worker,1,1,50,0,1,3
7394,21,N,3,1,Y,N,Y,N,N,1,29,2,APT,50,2,JEONSE,2,1,6,MOVETIME,1,3,CHI_CARE,2,4,2,4,6,2,,ETC,office_worker,1,1,40,0,1,3
7740,21,N,4,2,Y,N,Y,N,N,1,29,2,APT,60,2,JEONSE,5,2,1,WORK,1,1,WORK,3,4,3,3,4,1,,CONSTRUCTION,skill_own_worker,2,1,82,9,3,3
4111,22,N,4,2,Y,N,Y,N,N,2,29,2,APT,60,1,OWN,3,2,4,HOUSEWORK,1,3,CHI_CARE,2,5,3,4,4,3,1,,,,,,,,3
8306,26,N,3,1,Y,N,Y,N,N,2,29,2,APT,68,2,JEONSE,5,3,,,1,2,STUDY,2,1,1,4,6,3,4,,,,,,,,3
43,31,Y,2,0,Y,N,Y,N,N,2,29,2,APT,56,2,JEONSE,3,3,,,3,,,3,2,2,4,4,3,4,,,,,,,,1
1336,31,Y,3,1,Y,N,Y,N,N,1,29,2,APT,73,1,OWN,5,1,1,WORK,1,1,WORK,3,2,2,2,5,1,,MANUFACTURE,expert,1,1,48,0,1,3
1865,31,Y,2,0,Y,N,Y,N,N,1,29,2,APT,54,1,OWN,3,3,,,2,1,WORK,2,3,1,4,5,1,,SOCIAL_WELFARE,expert,1,1,46,5,3,2
1901,31,Y,3,1,Y,N,Y,N,N,2,29,2,APT,83,1,OWN,5,1,2,STUDY,1,3,CHI_CARE,4,3,5,4,4,3,1,,,,,,,,3
1987,31,Y,5,3,Y,N,Y,N,N,2,29,2,APT,64,5,COMPLIMENTARY,3,2,2,STUDY,2,4,HOUSEWORK,2,4,3,4,5,3,2,,,,,,,,5
2143,31,Y,2,0,Y,N,Y,N,N,2,29,2,APT,84,1,OWN,9,3,,,2,4,HOUSEWORK,3,2,4,3,4,3,2,,,,,,,,2
12009,32,N,4,2,Y,N,Y,N,N,1,29,2,APT,79,2,JEONSE,3,2,1,WORK,2,1,WORK,2,3,2,4,5,1,,PUBLIC,army,1,1,45,0,1,2
6714,35,N,3,1,Y,N,Y,N,N,1,29,2,APT,60,1,OWN,4,1,1,WORK,1,1,WORK,3,3,3,3,5,1,,PUBLIC,service_worker,1,1,46,0,1,2
7371,21,N,2,0,Y,N,N,Y,N,1,29,2,APT,59,3,RENT_DEPOSIT,2,2,2,STUDY,1,6,HEALTH,5,5,3,4,6,3,4,,,,,,,,3
8608,26,N,2,0,Y,N,N,Y,N,1,29,2,APT,45,3,RENT_DEPOSIT,2,3,,,3,,,3,3,3,2,3,3,2,,,,,,,,3
2430,11,Y,2,0,Y,Y,N,N,N,2,30,3,SMALL_FLAT,26,1,OWN,4,1,1,WORK,2,1,WORK,3,1,1,4,6,1,,CONSTRUCTION,expert,5,,48,2,3,3
2622,11,Y,2,0,Y,Y,N,N,N,2,30,2,APT,73,2,JEONSE,8,2,6,MOVETIME,2,8,ETC,1,2,1,3,7,1,,EDUCATION,expert,1,2,20,0,5,3
3018,11,Y,4,2,Y,Y,N,N,N,2,30,3,SMALL_FLAT,29,2,JEONSE,5,2,4,HOUSEWORK,2,4,HOUSEWORK,3,3,2,3,3,1,,HOTEL_RESTAU,service_worker,4,,25,0,1,3
3239,11,Y,2,0,Y,Y,N,N,N,1,30,2,APT,94,2,JEONSE,9,2,6,MOVETIME,1,1,WORK,2,3,1,4,6,1,,PUBLIC,expert,1,1,45,0,1,2
3261,11,Y,2,0,Y,Y,N,N,N,1,30,2,APT,112,3,RENT_DEPOSIT,6,1,5,SOCIALIZING,1,1,WORK,2,3,1,4,5,1,,EDUCATION,expert,1,1,40,0,1,4
7569,21,N,3,1,Y,Y,N,N,N,2,30,2,APT,84,1,OWN,7,2,1,WORK,2,1,WORK,2,3,3,4,4,1,,WHOLESALE_RETAIL,saler_worker,1,1,54,0,5,2
7632,21,N,2,0,Y,Y,N,N,N,1,30,2,APT,59,2,JEONSE,6,2,1,WORK,1,1,WORK,3,3,2,4,5,1,,MANUFACTURE,expert,1,1,52,0,2,3
7942,21,N,3,1,Y,Y,N,N,N,1,30,2,APT,74,2,JEONSE,5,2,1,WORK,1,1,WORK,4,5,3,2,5,1,,WHOLESALE_RETAIL,skill_own_worker,4,,62,0,6,2
8037,21,N,2,0,Y,Y,N,N,N,1,30,2,APT,50,1,OWN,6,1,1,WORK,2,1,WORK,2,3,3,3,3,1,,MANUFACTURE,machine_tech,1,1,45,0,4,2
3933,22,N,2,0,Y,Y,N,N,N,1,30,2,APT,112,2,JEONSE,6,2,1,WORK,3,,,2,3,3,2,5,1,,FINANCE,office_worker,1,1,48,0,1,2
