unique_identifier,region,seoul_metro_area,n_fam_members,n_under_age10,live_toge_couple,both_work,only_man_works,only_woman_works,both_dont_work,GENDER_RESP,AGE_RESP,HOUSE_TYPE,HOUSE_TYPE2,HOUSE_SQ_METER,HOUSE_RENT,HOUSE_RENT2,HOUSEHOLD_INC,TIME_SHORTAGE,WORK_GIVEUP,WORK_GIVEUP2,HOW_TIRED,REASON_TIRED,REASON_TIRED2,SATIS_LIFE,SATIS_LEISURE,SATIS_HOUWORK_DIVISION,GENDER_ROLE,edu_level,working_status,reason_not_working,working_field,position_type,hired_status,working_time,weekly_worktime,week_sidejob_worktime,dayoff_type,health_status
4171,37,N,4,0,Y,Y,N,N,N,2,47,2,APT,60,1,OWN,7,1,4,HOUSEWORK,1,4,HOUSEWORK,4,4,2,4,5,1,,SOCIAL_WELFARE,expert,1,1,45,0,1,3
4458,37,N,4,0,Y,Y,N,N,N,1,47,2,APT,61,1,OWN,4,2,1,WORK,2,1,WORK,3,4,3,2,3,1,,MANUFACTURE,skill_own_worker,1,1,40,0,1,3
4560,37,N,2,0,Y,Y,N,N,N,1,47,1,SINGLE,199,1,OWN,5,3,,,1,1,WORK,3,2,3,2,4,1,,FINANCE,saler_worker,1,1,40,0,1,1
4567,37,N,3,0,Y,Y,N,N,N,2,47,1,SINGLE,229,1,OWN,7,3,,,2,1,WORK,3,3,3,3,5,1,,ETC,service_worker,5,,42,0,3,3
4613,37,N,4,0,Y,Y,N,N,N,1,47,2,APT,83,1,OWN,9,2,1,WORK,2,1,WORK,3,3,2,4,3,1,,MANUFACTURE,machine_tech,1,1,48,0,3,2
4769,37,N,3,0,Y,Y,N,N,N,1,47,2,APT,60,1,OWN,5,3,,,2,1,WORK,2,2,2,3,3,1,,FACILITY_MANA,service_worker,1,1,52,0,1,3
4818,37,N,4,0,Y,Y,N,N,N,1,47,2,APT,59,1,OWN,3,2,1,WORK,1,1,WORK,2,3,2,3,6,1,,ETC,expert,1,1,50,0,5,3
8907,38,N,4,0,Y,Y,N,N,N,1,47,2,APT,58,1,OWN,6,1,6,MOVETIME,1,1,WORK,3,3,3,3,3,1,,MANUFACTURE,machine_tech,1,1,42,0,1,2
8935,38,N,4,0,Y,Y,N,N,N,2,47,2,APT,85,2,JEONSE,8,1,4,HOUSEWORK,1,1,WORK,1,3,3,4,6,1,,EDUCATION,expert,1,2,18,0,1,2
9256,38,N,3,0,Y,Y,N,N,N,2,47,2,APT,66,1,OWN,6,2,1,WORK,2,1,WORK,3,3,4,3,3,1,,MANUFACTURE,machine_tech,1,1,40,0,1,3
6826,39,N,3,0,Y,Y,N,N,N,2,47,3,SMALL_FLAT,87,1,OWN,4,2,1,WORK,2,1,WORK,1,3,2,4,4,1,,HOTEL_RESTAU,service_worker,2,1,48,0,3,2
6841,39,N,7,0,Y,Y,N,N,N,2,47,2,APT,112,3,RENT_DEPOSIT,5,1,3,CHI_CARE,1,1,WORK,4,1,4,3,3,1,,SOCIAL_WELFARE,service_worker,2,2,3,0,3,4
7109,39,N,4,0,Y,Y,N,N,N,2,47,2,APT,59,4,RENT,4,1,1,WORK,1,1,WORK,4,4,4,3,3,1,,HOTEL_RESTAU,service_worker,4,,70,0,5,4
7162,39,N,4,0,Y,Y,N,N,N,1,47,1,SINGLE,97,1,OWN,4,3,,,2,6,HEALTH,3,4,3,4,5,1,,EDUCATION,expert,5,,40,0,5,3
